Date,Price,Change,% Change,EPS,PER,8X,9.8X,11.6X,13.4X,15.2X,17X
21W10,16,-0.25,-1.54%,-0.37,,-,-,-,-,-,-
21W09,16.25,-0.15,-0.91%,-0.38,,-,-,-,-,-,-
21W08,16.4,+0.4,+2.5%,-0.39,,-,-,-,-,-,-
21W06,16,-0.35,-2.14%,-0.4,,-,-,-,-,-,-
21W05,16.35,-0.15,-0.91%,-0.41,,-,-,-,-,-,-
21W04,16.5,-0.65,-3.79%,-0.42,,-,-,-,-,-,-
21W03,17.15,-0.6,-3.38%,-0.43,,-,-,-,-,-,-
21W02,17.75,0,0%,-0.44,,-,-,-,-,-,-
21W01,17.75,-0.3,-1.66%,-0.45,,-,-,-,-,-,-
20W52,18.05,+1,+5.87%,-0.46,,-,-,-,-,-,-
20W51,17.05,+0.1,+0.59%,-0.46,,-,-,-,-,-,-
20W50,16.95,+0.3,+1.8%,-0.46,,-,-,-,-,-,-
20W49,16.65,-0.15,-0.89%,-0.46,,-,-,-,-,-,-
20W48,16.8,-0.2,-1.18%,-0.46,,-,-,-,-,-,-
20W47,17,+0.15,+0.89%,-0.46,,-,-,-,-,-,-
20W46,16.85,-0.65,-3.71%,-0.46,,-,-,-,-,-,-
20W45,17.5,+0.6,+3.55%,-0.46,,-,-,-,-,-,-
20W44,16.9,0,0%,-0.46,,-,-,-,-,-,-
20W43,16.9,-0.55,-3.15%,-0.46,,-,-,-,-,-,-
20W42,17.45,+0.95,+5.76%,-0.46,,-,-,-,-,-,-
20W41,16.5,+1.2,+7.84%,-0.46,,-,-,-,-,-,-
20W40,15.3,+0.95,+6.62%,-0.46,,-,-,-,-,-,-
20W39,14.35,-0.6,-4.01%,-0.46,,-,-,-,-,-,-
20W38,14.95,+0.65,+4.55%,-0.46,,-,-,-,-,-,-
20W37,14.3,-0.15,-1.04%,-0.46,,-,-,-,-,-,-
20W36,14.45,-0.2,-1.37%,-0.46,,-,-,-,-,-,-
20W35,14.65,+0.45,+3.17%,-0.46,,-,-,-,-,-,-
20W34,14.2,+0.05,+0.35%,-0.46,,-,-,-,-,-,-
20W33,14.15,-1.55,-9.87%,-0.46,,-,-,-,-,-,-
20W32,15.7,-0.2,-1.26%,-0.46,,-,-,-,-,-,-
20W31,15.9,-0.2,-1.24%,-0.46,,-,-,-,-,-,-
20W30,16.1,-0.35,-2.13%,-0.46,,-,-,-,-,-,-
20W29,16.45,-1.1,-6.27%,-0.46,,-,-,-,-,-,-
20W28,17.55,-0.75,-4.1%,-0.46,,-,-,-,-,-,-
20W27,18.3,+0.9,+5.17%,-0.46,,-,-,-,-,-,-
20W26,17.4,+0.3,+1.75%,-0.46,,-,-,-,-,-,-
20W25,17.1,+1.65,+10.7%,-0.46,,-,-,-,-,-,-
20W24,15.45,-0.85,-5.21%,-0.46,,-,-,-,-,-,-
20W23,16.3,+0.3,+1.88%,-0.46,,-,-,-,-,-,-
20W22,16,-0.1,-0.62%,-0.46,,-,-,-,-,-,-
20W21,16.1,-0.1,-0.62%,-0.46,,-,-,-,-,-,-
20W20,16.2,+2.25,+16.1%,-0.46,,-,-,-,-,-,-
20W19,13.95,+0.8,+6.08%,-0.46,,-,-,-,-,-,-
20W18,13.15,+0.4,+3.14%,-0.46,,-,-,-,-,-,-
20W17,12.75,-0.65,-4.85%,-0.46,,-,-,-,-,-,-
20W16,13.4,+1.1,+8.94%,-0.46,,-,-,-,-,-,-
20W15,12.3,+0.4,+3.36%,-0.46,,-,-,-,-,-,-
20W14,11.9,-0.55,-4.42%,-0.46,,-,-,-,-,-,-
20W13,12.45,+1.25,+11.2%,-0.46,,-,-,-,-,-,-
20W12,11.2,-3.5,-23.8%,-0.46,,-,-,-,-,-,-
20W11,14.7,-4.3,-22.6%,-0.46,,-,-,-,-,-,-
20W10,19,-0.6,-3.06%,-0.46,,-,-,-,-,-,-
20W09,19.6,-0.3,-1.51%,-0.46,,-,-,-,-,-,-
20W08,19.9,+2.4,+13.7%,-0.46,,-,-,-,-,-,-
20W07,17.5,+0.05,+0.29%,-0.46,,-,-,-,-,-,-
20W06,17.45,-1.4,-7.43%,-0.46,,-,-,-,-,-,-
20W05,18.85,-0.2,-1.05%,-0.46,,-,-,-,-,-,-
20W04,19.05,+0.35,+1.87%,-0.46,,-,-,-,-,-,-
20W03,18.7,-0.65,-3.36%,-0.46,,-,-,-,-,-,-
20W02,19.35,-0.45,-2.27%,-0.46,,-,-,-,-,-,-
20W01,19.8,-0.6,-2.94%,-0.46,,-,-,-,-,-,-
